#,region,reg,vote_2016,intention,vote_2020,gender,hisp,race,income,edu,state,age
1887,South,1,"Did not vote, but was eligible",Yes,Joe Biden,Male,0,White,>100K,1,NC,45
1888,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,WI,55
1889,Midwest,1,Was not eligible to vote,Not sure,I am not sure/don't know,Female,1,Other,<50K,0,IL,18
1890,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,FL,65
1891,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,GA,35
1892,South,1,"Did not vote, but was eligible",No,I am not sure/don't know,Female,0,White,<50K,1,FL,35
1893,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,TX,35
1894,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,<50K,1,IN,65
1895,South,1,Gary Johnson,Yes,I am not sure/don't know,Male,0,White,50K-100K,1,AL,45
1896,Midwest,1,Hillary Clinton,Yes,Joe Biden,Male,1,Other,50K-100K,0,WI,45
1897,West,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,0,AZ,55
1898,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,1,White,<50K,1,IA,65
1899,South,0,Was not eligible to vote,Not eligible,Donald Trump,Male,0,White,>100K,1,SC,65
1900,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,NH,55
1901,West,1,Was not eligible to vote,Yes,Donald Trump,Male,0,White,50K-100K,1,CO,18
1902,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,1,IN,45
1903,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,KY,55
1904,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,MI,35
1905,Northeast,1,Donald Trump,Yes,Donald Trump,Female,0,API,50K-100K,1,NJ,65
1906,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,50K-100K,1,CA,55
1907,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,0,TX,35
1908,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,NY,55
1909,West,0,Was not eligible to vote,Not sure,I would not vote,Male,0,White,<50K,0,WA,45
1910,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,MN,55
1911,Midwest,0,"Did not vote, but was eligible",Yes,Joe Biden,Male,0,White,<50K,1,WI,55
1912,South,1,Hillary Clinton,Yes,Joe Biden,Female,1,White,<50K,1,LA,75
1913,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,GA,55
1914,Midwest,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,IL,45
1915,Midwest,0,"Did not vote, but was eligible",No,Joe Biden,Male,0,White,<50K,0,WI,55
1916,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,FL,55
1917,West,1,Was not eligible to vote,Yes,I am not sure/don't know,Male,0,White,>100K,1,CA,35
1918,West,1,"Did not vote, but was eligible",Yes,Joe Biden,Male,1,Other,50K-100K,1,CA,18
1919,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,API,<50K,1,CA,35
1920,Northeast,1,Hillary Clinton,Yes,Someone else,Female,0,White,>100K,1,NY,55
1921,West,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,CA,35
1922,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,API,50K-100K,1,CA,55
1923,Midwest,0,Was not eligible to vote,Not sure,Donald Trump,Male,0,White,<50K,0,IL,65
1924,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,API,<50K,1,NY,18
1925,South,1,Hillary Clinton,Yes,Donald Trump,Male,0,API,>100K,1,GA,35
1926,West,1,Hillary Clinton,Yes,Joe Biden,Female,1,White,<50K,1,WA,35
1927,West,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,CA,35
1928,South,1,Gary Johnson,Yes,Joe Biden,Female,0,White,<50K,0,AL,25
1929,Northeast,1,"Did not vote, but was eligible",Yes,Joe Biden,Female,0,White,<50K,0,NJ,25
1930,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,<50K,0,OH,55
1931,Northeast,1,"Did not vote, but was eligible",Not sure,I would not vote,Female,0,API,<50K,0,NJ,25
1932,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,0,KY,65
1933,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,50K-100K,1,NJ,35
1934,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,IL,35
1935,Northeast,1,Was not eligible to vote,Yes,Joe Biden,Female,0,White,>100K,0,NY,18
1936,Northeast,1,Hillary Clinton,Yes,Donald Trump,Female,0,White,50K-100K,0,ME,55
1937,West,1,Was not eligible to vote,Not sure,Donald Trump,Female,0,White,50K-100K,0,OR,18
1938,South,1,Hillary Clinton,Yes,Someone else,Female,0,Black,<50K,1,GA,25
1939,South,1,"Did not vote, but was eligible",Yes,Joe Biden,Female,1,White,<50K,1,TN,75
1940,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,VA,25
1941,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,VA,35
1942,Midwest,0,Was not eligible to vote,Not eligible,Someone else,Male,0,White,<50K,0,MO,25
1943,South,0,"Did not vote, but was eligible",Not sure,Donald Trump,Female,0,White,<50K,0,AL,25
1944,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,1,NJ,75
1945,Midwest,1,"Did not vote, but was eligible",Yes,Someone else,Female,0,White,<50K,1,SD,45
1946,Northeast,0,"Did not vote, but was eligible",No,I would not vote,Female,0,White,<50K,0,NY,65
1947,Northeast,1,Gary Johnson,Yes,Joe Biden,Male,0,White,>100K,1,CT,65
1948,Midwest,1,Hillary Clinton,Yes,I am not sure/don't know,Female,0,White,<50K,0,WI,65
1949,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,Black,<50K,0,NJ,35
1950,Midwest,0,Was not eligible to vote,Not sure,Joe Biden,Male,0,White,NA,1,IA,18
1951,Northeast,0,"Did not vote, but was eligible",No,I would not vote,Female,0,White,<50K,0,PA,55
1952,Northeast,1,"Did not vote, but was eligible",Not sure,I would not vote,Female,0,Black,<50K,1,PA,25
1953,West,1,Don't recall,Yes,Donald Trump,Male,0,API,NA,1,HI,45
1954,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,50K-100K,1,WI,65
1955,South,0,"Did not vote, but was eligible",Not sure,I would not vote,Male,0,Black,50K-100K,0,GA,35
1956,South,1,Was not eligible to vote,No,I would not vote,Male,0,White,>100K,1,TX,25
1957,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,IA,45
1958,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,AR,45
1959,South,0,Was not eligible to vote,Yes,Donald Trump,Male,0,White,>100K,0,FL,18
1960,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,AR,65
1961,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,>100K,1,NJ,45
1962,West,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,CA,65
1963,South,0,Was not eligible to vote,Yes,Joe Biden,Male,1,Other,<50K,0,GA,18
1964,South,0,"Did not vote, but was eligible",No,I would not vote,Female,0,White,<50K,0,AL,25
1965,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,0,CA,65
1966,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,NJ,55
1967,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,PA,55
1968,Midwest,0,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,ND,65
1969,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,0,PA,75
1970,South,1,Hillary Clinton,Yes,Joe Biden,Male,1,White,NA,1,TX,45
1971,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,GA,45
1972,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,50K-100K,1,MD,55
1973,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,VA,55
1974,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,IL,35
1975,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,TN,25
1976,Northeast,1,Don't recall,Yes,Donald Trump,Female,0,White,50K-100K,1,NJ,65
1977,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,TX,35
1978,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,VA,65
1979,South,1,Was not eligible to vote,Yes,Joe Biden,Male,1,Other,<50K,0,MS,25
1980,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,TX,65
1981,Midwest,1,Gary Johnson,Yes,I am not sure/don't know,Female,0,White,50K-100K,1,IA,55
1982,Northeast,0,Was not eligible to vote,Not eligible,I would not vote,Female,0,White,<50K,0,NY,55
1983,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,FL,35
1984,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,50K-100K,1,VA,75
1985,South,0,"Did not vote, but was eligible",No,I would not vote,Female,0,Black,<50K,1,MS,65
1986,West,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,0,ID,75
1987,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,NY,75
1988,West,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,OR,75
1989,South,1,Donald Trump,Yes,Donald Trump,Female,0,Other,<50K,1,VA,75
1990,Northeast,1,Was not eligible to vote,Yes,Joe Biden,Male,0,White,>100K,1,MA,18
1991,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,1,FL,75
1992,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,NY,35
1993,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,OH,35
1994,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,<50K,1,GA,25
1995,Midwest,1,"Did not vote, but was eligible",Yes,I am not sure/don't know,Male,1,White,NA,0,IL,18
1996,South,1,Hillary Clinton,Yes,Joe Biden,Female,1,Other,<50K,1,FL,55
1997,Northeast,0,Donald Trump,Not sure,Donald Trump,Male,0,White,<50K,1,NJ,65
1998,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,MA,55
1999,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,API,>100K,1,MA,25
2000,Midwest,0,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,0,IN,35
2001,South,0,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Female,0,Other,<50K,0,AL,35
2002,South,0,"Did not vote, but was eligible",Yes,Donald Trump,Female,0,White,<50K,0,AL,45
2003,West,1,Jill Stein,Yes,Joe Biden,Female,0,Other,<50K,1,ID,75
2004,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,50K-100K,1,NY,35
2005,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,IL,65
2006,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,NA,1,CA,65
2007,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,0,TX,25
2008,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,Other,NA,0,IL,25
2009,South,1,"Did not vote, but was eligible",Not sure,Someone else,Female,0,White,50K-100K,0,OK,25
2010,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,MO,25
2011,South,0,Was not eligible to vote,Not eligible,Joe Biden,Female,0,White,<50K,1,NC,65
2012,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,GA,35
2013,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,WA,35
2014,Midwest,1,Was not eligible to vote,Yes,Joe Biden,Male,0,White,<50K,1,IN,18
2015,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,TX,65
2016,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,PA,65
2017,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,NC,35
2018,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,AZ,65
2019,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,CA,45
2020,South,0,"Did not vote, but was eligible",No,Joe Biden,Female,1,White,<50K,0,TX,45
